ID Year,Year,ID State,State,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Latitude,Longitude
2021,2021,04000US31,Nebraska,True,True,352010,Cooks,18472.58814804351,3740.132215963033,41.12537,-98.268082
2021,2021,04000US32,Nevada,True,True,352010,Cooks,26220.891914977496,2943.9577789670534,38.313515,-117.055374
2021,2021,04000US33,New Hampshire,True,True,352010,Cooks,24939.772249797992,6443.488703071146,43.452492,-71.563896
2021,2021,04000US34,New Jersey,True,True,352010,Cooks,24726.011773450988,2165.7579194030345,40.298904,-74.521011
2021,2021,04000US35,New Mexico,True,True,352010,Cooks,17769.44837053838,2521.8587527168525,34.840515,-106.248482
2021,2021,04000US36,New York,True,True,352010,Cooks,25105.98159590978,1491.0400371230903,42.165726,-74.948051
2021,2021,04000US37,North Carolina,True,True,352010,Cooks,17805.92334206535,1543.3359562185742,35.630066,-79.806419
2021,2021,04000US38,North Dakota,True,True,352010,Cooks,19558.771193935565,3856.910547793389,47.528912,-99.784012
2021,2021,04000US39,Ohio,True,True,352010,Cooks,16858.78078835483,1746.590663746813,40.388783,-82.764915
2021,2021,04000US40,Oklahoma,True,True,352010,Cooks,17037.166187002207,2026.5624848226148,35.565342,-96.928917
2021,2021,04000US41,Oregon,True,True,352010,Cooks,21457.836808617867,2329.2365256760286,44.572021,-122.070938
2021,2021,04000US42,Pennsylvania,True,True,352010,Cooks,19715.95787209075,2536.0031309413757,40.590752,-77.209755
2021,2021,04000US44,Rhode Island,True,True,352010,Cooks,25454.21076628916,5171.32593516381,41.680893,-71.51178
2021,2021,04000US45,South Carolina,True,True,352010,Cooks,19128.654212157973,2912.74293521704,33.856892,-80.945007
2021,2021,04000US46,South Dakota,True,True,352010,Cooks,16803.546338752258,3383.871735310885,44.299782,-99.438828
2021,2021,04000US47,Tennessee,True,True,352010,Cooks,17710.270479471037,1605.9175446565532,35.747845,-86.692345
2021,2021,04000US48,Texas,True,True,352010,Cooks,19184.759929514432,993.8340979798692,31.054487,-97.563461
2021,2021,04000US49,Utah,True,True,352010,Cooks,17807.73947144927,2476.6947877594803,40.150032,-111.862434
2021,2021,04000US50,Vermont,True,True,352010,Cooks,20765.30489166853,5356.541997053914,44.045876,-72.710686
2021,2021,04000US51,Virginia,True,True,352010,Cooks,20475.21540039153,2667.936778118033,37.769337,-78.169968
2021,2021,04000US53,Washington,True,True,352010,Cooks,24349.66364009018,2645.2997684507973,47.400902,-121.490494
2021,2021,04000US54,West Virginia,True,True,352010,Cooks,17400.820544134607,2893.1085496481364,38.491226,-80.954454
2021,2021,04000US55,Wisconsin,True,True,352010,Cooks,18537.803942661296,2781.1916572205178,44.268543,-89.616508
2021,2021,04000US56,Wyoming,True,True,352010,Cooks,19330.616118047677,4370.462002142107,42.755966,-107.30249
2021,2021,04000US72,Puerto Rico,True,True,352010,Cooks,14355.86713879607,2993.4088016160567,,
2020,2020,04000US01,Alabama,True,True,352010,Cooks,15319.994316843346,2002.2330544226857,32.806671,-86.79113
2020,2020,04000US02,Alaska,True,True,352010,Cooks,21693.50805206265,6464.967302261277,61.370716,-152.404419
2020,2020,04000US04,Arizona,True,True,352010,Cooks,19044.53778787566,1571.9280338670949,33.729759,-111.431221
2020,2020,04000US05,Arkansas,True,True,352010,Cooks,15388.08949224838,1768.725572181975,34.969704,-92.373123
2020,2020,04000US06,California,True,True,352010,Cooks,23581.41212560949,1116.8762682928498,36.116203,-119.681564
2020,2020,04000US08,Colorado,True,True,352010,Cooks,21421.953257967107,2879.8572801018367,39.059811,-105.311104
2020,2020,04000US09,Connecticut,True,True,352010,Cooks,25542.73552372929,4124.665467650416,41.597782,-72.755371
2020,2020,04000US10,Delaware,True,True,352010,Cooks,19386.78028666797,4673.82963958569,39.318523,-75.507141
2020,2020,04000US11,District of Columbia,True,True,352010,Cooks,25822.69554455445,6201.3157012561815,,
2020,2020,04000US12,Florida,True,True,352010,Cooks,20614.189668416337,1314.895863793069,27.766279,-81.686783
2020,2020,04000US13,Georgia,True,True,352010,Cooks,16901.08596701373,1286.773809452055,33.040619,-83.643074
2020,2020,04000US15,Hawaii,True,True,352010,Cooks,27919.743982652693,4141.036933565796,21.094318,-157.498337
2020,2020,04000US16,Idaho,True,True,352010,Cooks,15828.05501763867,3956.157485373474,44.240459,-114.478828
2020,2020,04000US17,Illinois,True,True,352010,Cooks,19448.699945182187,1798.4664516952448,40.349457,-88.986137
2020,2020,04000US18,Indiana,True,True,352010,Cooks,14919.37225321163,1536.790784878039,39.849426,-86.258278
2020,2020,04000US19,Iowa,True,True,352010,Cooks,17721.555649207305,3480.94816086695,42.011539,-93.210526
2020,2020,04000US20,Kansas,True,True,352010,Cooks,16424.626117980548,2201.6024922323218,38.5266,-96.726486
2020,2020,04000US21,Kentucky,True,True,352010,Cooks,16221.585663104388,3280.493334057055,37.66814,-84.670067
2020,2020,04000US22,Louisiana,True,True,352010,Cooks,17214.710874969267,2311.0760933592837,31.169546,-91.867805
2020,2020,04000US23,Maine,True,True,352010,Cooks,18233.636632200887,3371.997566676785,44.693947,-69.381927
2020,2020,04000US24,Maryland,True,True,352010,Cooks,21776.849463949104,2646.134563452561,39.063946,-76.802101
2020,2020,04000US25,Massachusetts,True,True,352010,Cooks,24966.09808252184,2776.7407099944394,42.230171,-71.530106
2020,2020,04000US26,Michigan,True,True,352010,Cooks,16488.12563865716,1505.744642904979,43.326618,-84.536095
2020,2020,04000US27,Minnesota,True,True,352010,Cooks,18939.87568360346,3027.8789421943397,45.694454,-93.900192
2020,2020,04000US28,Mississippi,True,True,352010,Cooks,15068.385993000224,2410.046186938529,32.741646,-89.678696
2020,2020,04000US29,Missouri,True,True,352010,Cooks,17070.852011066185,1721.3277774369246,38.456085,-92.288368
2020,2020,04000US30,Montana,True,True,352010,Cooks,17818.448256467942,3240.411443544519,46.921925,-110.454353
2020,2020,04000US31,Nebraska,True,True,352010,Cooks,17394.333945656334,3752.831146111469,41.12537,-98.268082
2020,2020,04000US32,Nevada,True,True,352010,Cooks,26245.465838894925,3222.1733346066912,38.313515,-117.055374
2020,2020,04000US33,New Hampshire,True,True,352010,Cooks,22111.50145196887,5027.891572831389,43.452492,-71.563896
2020,2020,04000US34,New Jersey,True,True,352010,Cooks,23837.8591845702,2060.499072223168,40.298904,-74.521011
2020,2020,04000US35,New Mexico,True,True,352010,Cooks,17227.53282467889,2237.746122146584,34.840515,-106.248482
2020,2020,04000US36,New York,True,True,352010,Cooks,23882.71569026493,1565.7874734677116,42.165726,-74.948051
2020,2020,04000US37,North Carolina,True,True,352010,Cooks,17008.210541115976,1602.297959683437,35.630066,-79.806419
2020,2020,04000US38,North Dakota,True,True,352010,Cooks,19430.702446937947,3663.810859780042,47.528912,-99.784012
2020,2020,04000US39,Ohio,True,True,352010,Cooks,16220.674505235964,1627.8602435805965,40.388783,-82.764915
2020,2020,04000US40,Oklahoma,True,True,352010,Cooks,16262.461808884627,1916.9128481285452,35.565342,-96.928917
2020,2020,04000US41,Oregon,True,True,352010,Cooks,20134.9215840463,1778.3334156906246,44.572021,-122.070938
2020,2020,04000US42,Pennsylvania,True,True,352010,Cooks,18766.976255036618,2202.8342476918733,40.590752,-77.209755
2020,2020,04000US44,Rhode Island,True,True,352010,Cooks,24021.844254937165,4642.93394022927,41.680893,-71.51178
2020,2020,04000US45,South Carolina,True,True,352010,Cooks,18377.24541854917,2701.898089009373,33.856892,-80.945007
2020,2020,04000US46,South Dakota,True,True,352010,Cooks,16510.87315720333,2980.904756639714,44.299782,-99.438828
2020,2020,04000US47,Tennessee,True,True,352010,Cooks,17243.859369158417,1718.8943549728378,35.747845,-86.692345
2020,2020,04000US48,Texas,True,True,352010,Cooks,18305.109885715585,886.1652322549545,31.054487,-97.563461
2020,2020,04000US49,Utah,True,True,352010,Cooks,16664.398444026734,2363.341606163134,40.150032,-111.862434
2020,2020,04000US50,Vermont,True,True,352010,Cooks,20393.836865342164,5321.701192441393,44.045876,-72.710686
2020,2020,04000US51,Virginia,True,True,352010,Cooks,19540.381211998003,2176.106378894795,37.769337,-78.169968
2020,2020,04000US53,Washington,True,True,352010,Cooks,22993.41747495469,2223.154834148714,47.400902,-121.490494
2020,2020,04000US54,West Virginia,True,True,352010,Cooks,16807.651440854435,2485.623873795956,38.491226,-80.954454
2020,2020,04000US55,Wisconsin,True,True,352010,Cooks,17225.944830749915,1708.8582487738777,44.268543,-89.616508
2020,2020,04000US56,Wyoming,True,True,352010,Cooks,19259.89094603748,4635.8598337008125,42.755966,-107.30249
2020,2020,04000US72,Puerto Rico,True,True,352010,Cooks,13169.200676784249,2778.2137820403827,,
2019,2019,04000US01,Alabama,True,True,352010,Cooks,14610.157228571428,1919.9307037540975,32.806671,-86.79113
2019,2019,04000US02,Alaska,True,True,352010,Cooks,20519.374682058307,5880.867889862587,61.370716,-152.404419
2019,2019,04000US04,Arizona,True,True,352010,Cooks,18368.78715816889,1582.5282149883153,33.729759,-111.431221
2019,2019,04000US05,Arkansas,True,True,352010,Cooks,14627.605791686128,1772.6872413501974,34.969704,-92.373123
2019,2019,04000US06,California,True,True,352010,Cooks,22849.681008486263,1089.194275161879,36.116203,-119.681564
2019,2019,04000US08,Colorado,True,True,352010,Cooks,20296.65359927203,2712.34506245413,39.059811,-105.311104
2019,2019,04000US09,Connecticut,True,True,352010,Cooks,25932.35872115227,4106.116825905455,41.597782,-72.755371
2019,2019,04000US10,Delaware,True,True,352010,Cooks,18198.673059020668,4327.185217085201,39.318523,-75.507141
2019,2019,04000US11,District of Columbia,True,True,352010,Cooks,26898.58399122807,16551.83039477693,,
2019,2019,04000US12,Florida,True,True,352010,Cooks,20400.68358912138,1334.5964213546245,27.766279,-81.686783
2019,2019,04000US13,Georgia,True,True,352010,Cooks,16296.084908513534,1358.6709004273712,33.040619,-83.643074
2019,2019,04000US15,Hawaii,True,True,352010,Cooks,27240.02973283539,3704.312538004584,21.094318,-157.498337
2019,2019,04000US16,Idaho,True,True,352010,Cooks,15443.99453344469,4016.496269753317,44.240459,-114.478828
2019,2019,04000US17,Illinois,True,True,352010,Cooks,19493.33875200625,1742.9882597279684,40.349457,-88.986137
2019,2019,04000US18,Indiana,True,True,352010,Cooks,15770.42958,2555.3606200826625,39.849426,-86.258278
2019,2019,04000US19,Iowa,True,True,352010,Cooks,17139.743198616135,3153.3810435314344,42.011539,-93.210526
2019,2019,04000US20,Kansas,True,True,352010,Cooks,15919.028276931496,2129.54056401723,38.5266,-96.726486
2019,2019,04000US21,Kentucky,True,True,352010,Cooks,15174.6064853308,2034.1004707278264,37.66814,-84.670067
2019,2019,04000US22,Louisiana,True,True,352010,Cooks,17095.490416012362,2197.112167535305,31.169546,-91.867805
2019,2019,04000US23,Maine,True,True,352010,Cooks,17434.8771596924,2989.630257288293,44.693947,-69.381927
2019,2019,04000US24,Maryland,True,True,352010,Cooks,21452.720003363323,2601.1206577238127,39.063946,-76.802101
2019,2019,04000US25,Massachusetts,True,True,352010,Cooks,24743.527366632385,2669.953266119593,42.230171,-71.530106
2019,2019,04000US26,Michigan,True,True,352010,Cooks,15883.524750421726,1454.0696891864982,43.326618,-84.536095
2019,2019,04000US27,Minnesota,True,True,352010,Cooks,18714.857784571966,2974.7627390501943,45.694454,-93.900192
2019,2019,04000US28,Mississippi,True,True,352010,Cooks,14961.042235170642,2168.8284868558176,32.741646,-89.678696
2019,2019,04000US29,Missouri,True,True,352010,Cooks,16621.659127525098,1911.8600881610453,38.456085,-92.288368
2019,2019,04000US30,Montana,True,True,352010,Cooks,17360.751710216442,3297.869611191441,46.921925,-110.454353
2019,2019,04000US31,Nebraska,True,True,352010,Cooks,16549.313600548132,3313.9055060602877,41.12537,-98.268082
2019,2019,04000US32,Nevada,True,True,352010,Cooks,25898.996460121547,3162.221539369613,38.313515,-117.055374
2019,2019,04000US33,New Hampshire,True,True,352010,Cooks,21245.806209724666,4860.962083858128,43.452492,-71.563896
2019,2019,04000US34,New Jersey,True,True,352010,Cooks,22891.08532331634,1870.9328586025656,40.298904,-74.521011
2019,2019,04000US35,New Mexico,True,True,352010,Cooks,17349.693825317267,2267.058877485831,34.840515,-106.248482
2019,2019,04000US36,New York,True,True,352010,Cooks,23246.005139363973,1484.4160500491405,42.165726,-74.948051
2019,2019,04000US37,North Carolina,True,True,352010,Cooks,17104.69639270817,1893.326231834585,35.630066,-79.806419
2019,2019,04000US38,North Dakota,True,True,352010,Cooks,20029.67250462765,3954.9891672405975,47.528912,-99.784012
2019,2019,04000US39,Ohio,True,True,352010,Cooks,15938.88588102159,1595.351452703845,40.388783,-82.764915
2019,2019,04000US40,Oklahoma,True,True,352010,Cooks,15682.738455003338,1927.452281880217,35.565342,-96.928917
2019,2019,04000US41,Oregon,True,True,352010,Cooks,19673.704301075268,1694.996686541766,44.572021,-122.070938
2019,2019,04000US42,Pennsylvania,True,True,352010,Cooks,18374.67505807095,2076.985800278661,40.590752,-77.209755
2019,2019,04000US44,Rhode Island,True,True,352010,Cooks,22996.874127950126,4422.98849543094,41.680893,-71.51178
2019,2019,04000US45,South Carolina,True,True,352010,Cooks,18083.83580588383,2562.329307432583,33.856892,-80.945007
2019,2019,04000US46,South Dakota,True,True,352010,Cooks,15791.916838386813,3045.6675880053053,44.299782,-99.438828
2019,2019,04000US47,Tennessee,True,True,352010,Cooks,16922.732814941726,1860.366610953912,35.747845,-86.692345
